reviewId,reviewText,reviewDate,rating
20250813-00001,Rider no show,2025-08-13,2
20250813-00002,Reached very late,2025-08-13,2
20250813-00003,GPS kept jumping,2025-08-13,2
20250813-00004,Refund pending for a week,2025-08-13,3
20250813-00005,Map not updating,2025-08-13,4
20250813-00006,Force closes on checkout,2025-08-13,1
20250813-00007,Coupon not working,2025-08-13,1
20250813-00008,Refund taking too long,2025-08-13,3
20250813-00009,Order was late by 40 mins,2025-08-13,3
20250813-00010,Delivery stuck on the map,2025-08-13,2
20250813-00011,Driver took wrong route,2025-08-13,2
20250813-00012,Map pin wrong,2025-08-13,1
20250813-00013,Refund pending for a week,2025-08-13,3
20250813-00014,Location inaccurate,2025-08-13,2
20250813-00015,Map not updating,2025-08-13,3
20250813-00016,GPS kept jumping,2025-08-13,2
20250813-00017,Map not updating,2025-08-13,3
20250813-00018,Please keep Instamart open all night,2025-08-13,2
20250813-00019,Very impolite on call,2025-08-13,2
20250813-00020,GPS kept jumping,2025-08-13,3
20250813-00021,App hangs on payment,2025-08-13,2
20250813-00022,Reached very late,2025-08-13,2
20250813-00023,Force closes on checkout,2025-08-13,3
20250813-00024,Burger arrived cold and soggy,2025-08-13,3
20250813-00025,Please keep Instamart open all night,2025-08-13,3
20250813-00026,Driver took wrong route,2025-08-13,2
20250813-00027,Stale paratha,2025-08-13,3
20250813-00028,Delivery stuck on the map,2025-08-13,3
20250813-00029,Force closes on checkout,2025-08-13,3
20250813-00030,Driver took wrong route,2025-08-13,4
20250813-00031,Burger arrived cold and soggy,2025-08-13,5
20250813-00032,Reached very late,2025-08-13,2
20250813-00033,App keeps crashing,2025-08-13,2
20250813-00034,Stale paratha,2025-08-13,2
20250813-00035,Rider was rude,2025-08-13,4
20250813-00036,Map not updating,2025-08-13,4
20250813-00037,Driver took wrong route,2025-08-13,2
20250813-00038,Very impolite on call,2025-08-13,3
20250813-00039,Driver took wrong route,2025-08-13,3
20250813-00040,Map not updating,2025-08-13,4
20250813-00041,Map not updating,2025-08-13,3
20250813-00042,Food smelled bad,2025-08-13,1
20250813-00043,Rider no show,2025-08-13,3
20250813-00044,Delivery stuck on the map,2025-08-13,3
20250813-00045,Rotten salad,2025-08-13,2
20250813-00046,Refund taking too long,2025-08-13,1
20250813-00047,Instant bolt delivery was great,2025-08-13,2
20250813-00048,Where is 10 min delivery?,2025-08-13,5
20250813-00049,App keeps crashing,2025-08-13,3
20250813-00050,App hangs on payment,2025-08-13,3
20250813-00051,App hangs on payment,2025-08-13,4
20250813-00052,Refund taking too long,2025-08-13,3
